accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
EA90111799	EA_000	EA029651,EA029664	199.0547	[M-H]-	78441	C8H12N2O2S	6.3
EA63336873	EA_000	EA293951	304.1303	[M-H]-	86137	C15H19N3O4	5.7
EA40409755	EA_000	EA016251,EA016264	247.0325	[M-H]-	86398	C12H6F2N2O2	10.7
EA05016403	EA_000	EA270951,EA270964	254.045	[M-H]-	86418	C9H10ClN5O2	4.6
EA10622912	EA_000	EA070151	218.1187	[M-H]-	86863	C13H17NO2	4.8
EA39033584	EA_000	EA014751,EA014764	326.0646	[M-H]-	91701	C15H12F3NO4	10.8
EA18948841	EA_000	EA011951,EA011964	462.9441	[M-H]-	91731	C13H4Cl2F6N4O4	15.9
EA82371576	EA_000	EA029051,EA029064	327.0099	[M-H]-	91760	C14H13ClO5S	6.8
EA74066079	EA_000	EA295251	351.2078	[M-H]-	91773	C22H28N2O2	12.5
EA65038847	EA_000	EA013051,EA013064	430.0497	[M-H]-	91779	C14H17N5O7S2	7.9
EA12753868	EA_000	EA293551	367.2027	[M-H]-	105010	C22H28N2O3	11.0
EA77735890	EA_000	EA009951,EA009964	314.1068	[M-H]-	115236	C14H21NO5S	7.7
EA21874702	EA_000	EA277051,EA277064	293.1143	[M-H]-	134601	C14H18N2O5	4.8
EA45814400	EA_000	EA024551	351.0769	[M-H]-	168167	C14H16N4O5S	6.4
EA76730182	EA_000	EA025851,EA025864	338.034	[M-H]-	175967	C14H13NO7S	6.2
EA26298310	EA_000	EA030451,EA030464	191.119	[M-H]-	182167	C11H16N2O	8.8
EA45561026	EA_000	EA298651	221.0599	[M-H]-	213021	C10H11ClN4	5.3
EA88987518	EA_000	EA293351	248.0014	[M-H]-	213027	C6H8ClN5O2S	4.9
EA28722560	EA_000	EA280251,EA280264	480.161	[M-H]-	446157	C22H28FN3O6S	9.2
EA94081355	EA_000	EA280851,EA280864	319.1187	[M-H]-	446541	C17H20O6	9.6
EA49967305	EA_000	EA065951	283.1663	[M-H]-	449381	C14H24N2O4	5.2
EA27272970	EA_000	EA034051,EA034064	213.0703	[M-H]-	738302	C9H14N2O2S	7.5
EA36405941	EA_000	EA274251,EA274264	241.1016	[M-H]-	3000715	C11H18N2O2S	9.0
EA14000146	EA_000	EA019651,EA019664	313.134	[M-H]-	3001055	C13H22N4O3S	1.9
EA74987788	EA_000	EA273851	329.1289	[M-H]-	3033888	C13H22N4O4S	2.5
EA61772514	EA_000	EA273751	329.1289	[M-H]-	3033889	C13H22N4O4S	0.9
EA47548256	EA_000	EA266751,EA266764	450.9263	[M-H]-	3078139	C12H4Cl2F6N4O2S	13.5
