inchikey1	num_of_stereo_conf	smiles_can	smiles_iso
QZNXVYFINYLUOU	4	C1CC1COC2CCN(CC2CC3=CC=CC=C3)C(=O)C4=CC=CC=N4	C1CN(C[C@@H]([C@@H]1OCC2CC2)CC3=CC=CC=C3)C(=O)C4=CC=CC=N4,C1CN(C[C@@H]([C@H]1OCC2CC2)CC3=CC=CC=C3)C(=O)C4=CC=CC=N4,C1CN(C[C@H]([C@H]1OCC2CC2)CC3=CC=CC=C3)C(=O)C4=CC=CC=N4,C1CN(C[C@H]([C@@H]1OCC2CC2)CC3=CC=CC=C3)C(=O)C4=CC=CC=N4
ARURYWRRRHWCSF	4	COC(=O)CCCC1=CC=CC=C1CC2C(CCC2=O)C=C3CCCCC3O	COC(=O)CCCC1=CC=CC=C1C[C@@H]2[C@H](CCC2=O)C=C3CCCC[C@@H]3O,COC(=O)CCCC1=CC=CC=C1CC2[C@@H](CCC2=O)C=C3CCCC[C@@H]3O,COC(=O)CCCC1=CC=CC=C1C[C@@H]2[C@H](CCC2=O)/C=C/3\CCCC[C@@H]3O,COC(=O)CCCC1=CC=CC=C1C[C@H]2[C@@H](CCC2=O)/C=C/3\CCCC[C@@H]3O
HULBOWVVRBLJJD	4	CCOC1CCC2C1OCCN2C(=O)COC3=CC=CC=C3	CCO[C@H]1CC[C@H]2[C@H]1OCCN2C(=O)COC3=CC=CC=C3,CCO[C@H]1CC[C@H]2[C@@H]1OCCN2C(=O)COC3=CC=CC=C3,CCO[C@@H]1CC[C@@H]2[C@H]1OCCN2C(=O)COC3=CC=CC=C3,CCO[C@@H]1CC[C@@H]2[C@@H]1OCCN2C(=O)COC3=CC=CC=C3
ZPXCDCQGDGAVNJ	4	C1CCC2C(C1)COC3=CC=CC=C3C2N	C1CC[C@H]2[C@@H](C1)COC3=CC=CC=C3[C@@H]2N,C1CC[C@@H]2[C@@H](C1)COC3=CC=CC=C3[C@H]2N,C1CC[C@@H]2[C@@H](C1)COC3=CC=CC=C3[C@@H]2N,C1CC[C@H]2[C@@H](C1)COC3=CC=CC=C3[C@H]2N
OAKLBARDITXWPZ	4	CC1CC(=O)C(C2C1(C(=O)CCC23OCCO3)C(=O)OC)CC=C	C[C@H]1CC(=O)[C@H]([C@H]2[C@@]1(C(=O)CCC23OCCO3)C(=O)OC)CC=C,C[C@H]1CC(=O)[C@@H]([C@H]2[C@@]1(C(=O)CCC23OCCO3)C(=O)OC)CC=C,C[C@H]1CC(=O)[C@H](C2[C@@]1(C(=O)CCC23OCCO3)C(=O)OC)CC=C,C[C@H]1CC(=O)[C@@H](C2[C@@]1(C(=O)CCC23OCCO3)C(=O)OC)CC=C
XQSRFBIFDRHIHL	4	CC1CCCC1(COC(=O)C)C2=CC=CC=C2	C[C@@H]1CCC[C@]1(COC(=O)C)C2=CC=CC=C2,C[C@H]1CCC[C@]1(COC(=O)C)C2=CC=CC=C2,C[C@@H]1CCC[C@@]1(COC(=O)C)C2=CC=CC=C2,C[C@H]1CCC[C@@]1(COC(=O)C)C2=CC=CC=C2
UYCJJAUGFSFQSW	4	CCCCC(C=O)NC(=O)C(C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC=CC=C2	CCCC[C@@H](C=O)NC(=O)[C@H](C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC=CC=C2,CCCC[C@@H](C=O)NC(=O)[C@H](C)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=CC=CC=C2,CCCC[C@H](C=O)NC(=O)[C@H](C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC=CC=C2,CCCCC(C=O)NC(=O)C(C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC=CC=C2
KKAYBXYTAULTSV	4	CC1C(N1)C=O	C[C@H]1[C@@H](N1)C=O,C[C@H]1[C@H](N1)C=O,CC1C(N1)C=O,C[C@H]1C(N1)C=O
ZTKBNHSHGOGNRO	4	COC1=C(C=C2C(=C1)C(OC2=O)C(C3=CC=CC=C3)O)OC	COC1=C(C=C2C(=C1)[C@@H](OC2=O)[C@@H](C3=CC=CC=C3)O)OC,COC1=C(C=C2C(=C1)C(OC2=O)C(C3=CC=CC=C3)O)OC,COC1=C(C=C2C(=C1)[C@@H](OC2=O)C(C3=CC=CC=C3)O)OC,COC1=C(C=C2C(=C1)C(OC2=O)[C@@H](C3=CC=CC=C3)O)OC
AGXPLMCKHGTYNP	4	CCCCC(=O)OC1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C	CCCCC(=O)OC1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4[C@@]3(CCC(=O)C4)C)C,CCCCC(=O)OC1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4[C@@]3(CCC(=O)C4)C)C,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C,CCCCC(=O)OC1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C
ANOXEUSGZWSCQL	4	CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC=C(O3)C=C7)N(CCC6=CC(=C5OC)OC)C)OC)OC	CN1CCC2=CC(=C(C3=C2[C@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC=C(O3)C=C7)N(CCC6=CC(=C5OC)OC)C)OC)OC,CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC=C(O3)C=C7)N(CCC6=CC(=C5OC)OC)C)OC)OC,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@H](CC7=CC=C(O3)C=C7)N(CCC6=CC(=C5OC)OC)C)OC)OC,CN1CCC2=CC(=C(C3=C2[C@H]1CC4=CC=C(C=C4)OC5=C6[C@H](CC7=CC=C(O3)C=C7)N(CCC6=CC(=C5OC)OC)C)OC)OC
YHKPUYYFFGFIKR	4	CCC(C)C(C(=O)OC)NC(=O)COC(=O)C1=CC=C(C=C1)N(CC)CC	CC[C@@H](C)[C@@H](C(=O)OC)NC(=O)COC(=O)C1=CC=C(C=C1)N(CC)CC,CC[C@H](C)[C@@H](C(=O)OC)NC(=O)COC(=O)C1=CC=C(C=C1)N(CC)CC,CC[C@H](C)[C@H](C(=O)OC)NC(=O)COC(=O)C1=CC=C(C=C1)N(CC)CC,CCC(C)C(C(=O)OC)NC(=O)COC(=O)C1=CC=C(C=C1)N(CC)CC
WIWNKVROJWOBJC	4	CC(CO)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C	C[C@H](CO)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C,C[C@@H](CO)[C@@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C,CC(CO)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C,C[C@@H](CO)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C
IEHCIJNPJCKDDL	4	CC(C)(C)OC(=O)NC1C2N(C1=O)CCCO2	CC(C)(C)OC(=O)N[C@H]1C2N(C1=O)CCCO2,CC(C)(C)OC(=O)NC1C2N(C1=O)CCCO2,CC(C)(C)OC(=O)N[C@@H]1[C@@H]2N(C1=O)CCCO2,CC(C)(C)OC(=O)N[C@H]1[C@H]2N(C1=O)CCCO2
OFBKWUWUVDDMIG	4	C1CC2CCC(C1)CN(C2)S(=O)(=O)C3=CC=CC=C3	C1CC2CCC(C1)CN(C2)S(=O)(=O)C3=CC=CC=C3,C1C[C@@H]2CC[C@H](C1)CN(C2)S(=O)(=O)C3=CC=CC=C3,C1C[C@@H]2CC[C@@H](C1)CN(C2)S(=O)(=O)C3=CC=CC=C3,C1C[C@H]2CC[C@H](C1)CN(C2)S(=O)(=O)C3=CC=CC=C3
CBFWAONEDKCKAZ	4	COC(=O)C(C1CCCCC1)NC(=O)C2CCCO2	COC(=O)[C@@H](C1CCCCC1)NC(=O)[C@H]2CCCO2,COC(=O)[C@@H](C1CCCCC1)NC(=O)[C@@H]2CCCO2,COC(=O)[C@H](C1CCCCC1)NC(=O)[C@H]2CCCO2,COC(=O)[C@H](C1CCCCC1)NC(=O)[C@@H]2CCCO2
ZIOMQRRFPWLXDN	4	CC1=CCC2(CC1O)C(CCC2C(=O)O)C(C)C	CC1=CCC2(CC1O)C(CCC2C(=O)O)C(C)C,CC1=CCC2(C[C@@H]1O)[C@@H](CC[C@@H]2C(=O)O)C(C)C,CC1=CC[C@]2(C[C@@H]1O)[C@@H](CC[C@@H]2C(=O)O)C(C)C,CC1=CC[C@]2(CC1O)[C@@H](CC[C@@H]2C(=O)O)C(C)C
VYSLQZMODQQERE	4	CC1CN(CC(O1)C)C(=O)COC(=O)C2=CC=CC(=C2C)C	C[C@@H]1CN(C[C@@H](O1)C)C(=O)COC(=O)C2=CC=CC(=C2C)C,C[C@@H]1CN(C[C@H](O1)C)C(=O)COC(=O)C2=CC=CC(=C2C)C,C[C@H]1CN(C[C@@H](O1)C)C(=O)COC(=O)C2=CC=CC(=C2C)C,CC1CN(CC(O1)C)C(=O)COC(=O)C2=CC=CC(=C2C)C
PSTYCQDMRRHLJG	4	C1=COC(=C1)C=NN=C(C2=NC=CN=C2)N	C1=COC(=C1)C=NN=C(C2=NC=CN=C2)N,C1=COC(=C1)/C=N\N=C(/C2=NC=CN=C2)\N,C1=COC(=C1)/C=N\N=C(C2=NC=CN=C2)N,C1=COC(=C1)/C=N/N=C(/C2=NC=CN=C2)\N
