accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
BML9840033	BML_000	BML00305,BML00309	243.0809	[M-H]-	253	C10H16N2O3S	3.46
BML0035840	BML_000	BML00989,BML00997,BML01005	407.28030000000007	[M-H]-	303	C24H40O5	10.065
BML4708948	BML_000	BML01334	132.0302	[M-H]-	424	C4H7NO4	0.367
BML8747603	BML_000	BML01204	178.0509	[M-H]-	464	C9H9NO3	2.327
BML5474079	BML_000	BML01273,BML01276,BML01279	303.051	[M-H]-	471	C15H12O7	4.365
BML1677811	BML_000	BML01031	242.0782	[M-H]-	596	C9H13N3O5	0.376
BML6895951	BML_000	BML00983,BML00991	193.0354	[M-H]-	610	C6H10O7	0.382
BML7121242	BML_000	BML01298,BML01303	146.0459	[M-H]-	611	C5H9NO4	0.361
BML0555409	BML_000	BML01202,BML01207	306.0496	[M-H]-	624	C9H14N3O7P	0.395
BML0513387	BML_000	BML00988,BML00996,BML01004	269.1547	[M-H]-	698	C18H22O2	8.651
BML3939883	BML_000	BML01094,BML01100	154.0622	[M-H]-	773	C6H9N3O2	0.33
BML8562017	BML_000	BML01568,BML01575	140.0829	[M-H]-	776	C6H11N3O	0.305
BML3457977	BML_000	BML01832,BML01842,BML01852	196.0615	[M-H]-	836	C9H11NO4	0.38800000000000007
BML7824394	BML_000	BML01158,BML01167	182.0822	[M-H]-	838	C9H13NO3	0.369
BML9557399	BML_000	BML01165,BML01174	277.2173	[M-H]-	860	C18H30O2	11.536
BML5425615	BML_000	BML01301,BML01306	205.0362	[M-H]-	864	C8H14O2S2	6.545
BML9293867	BML_000	BML00724,BML00731,BML00738	231.11389999999997	[M-H]-	896	C13H16N2O2	5.009
BML4300398	BML_000	BML00843,BML00850,BML00857	217.0982	[M-H]-	914	C12H14N2O2	1.537
BML6893519	BML_000	BML00676,BML00684,BML00692	271.0612	[M-H]-	932	C15H12O5	6.647000000000001
BML0597920	BML_000	BML00087,BML00091	375.131	[M-H]-	1072	C17H20N4O6	4.275
BML7223616	BML_000	BML01061	173.0455	[M-H]-	1094	C7H10O5	0.386
BML0308422	BML_000	BML01032	241.083	[M-H]-	1134	C10H14N2O5	1.554
BML4695503	BML_000	BML01203,BML01208,BML01213	203.08260000000004	[M-H]-	1148	C11H12N2O2	1.255
BML4661801	BML_000	BML01095,BML01101	180.0666	[M-H]-	1153	C9H11NO3	0.389
BML2843424	BML_000	BML00626,BML00630,BML00634	289.0717	[M-H]-	1203	C15H14O6	2.546
BML6944961	BML_000	BML01238,BML01244	255.0986	[M-H]-	1814	C11H16N2O5	2.447
BML1646311	BML_000	BML00722,BML00729	179.035	[M-H]-	2518	C9H8O4	2.971
BML8636175	BML_000	BML00443,BML00453,BML00463	347.10369999999995	[M-H]-	2538	C20H16N2O4	7.594
BML4060720	BML_000	BML01336,BML01341	401.2333	[M-H]-	2975	C24H34O5	8.153
BML4117434	BML_000	BML01164,BML01173,BML01182	823.448	[M+CH3COOH-H]-	3061	C41H64O13	10.83
BML5086790	BML_000	BML00500,BML00508,BML00516	610.3035	[M-H]-	3065	C35H41N5O5	7.11
BML3871930	BML_000	BML01511,BML01519,BML01527	317.0101	[M-H]-	3165	C12H12Cl2N2O4	5.52
BML9001366	BML_000	BML00501,BML00509,BML00517	469.3323	[M-H]-	3230	C30H46O4	11.681
BML7435816	BML_000	BML00307,BML00311,BML00315	301.0717	[M-H]-	3593	C16H14O6	7.053
BML7589328	BML_000	BML00846	253.087	[M-H]-	3825	C16H14O3	7.851
BML5125177	BML_000	BML00723,BML00730,BML00737	214.0734	[M-H]-	3830	C10H9N5O	4.385
BML8071627	BML_000	BML00089	141.0193	[M-H]-	3840	C6H6O4	0.788
BML6238606	BML_000	BML00938,BML00944,BML00950	338.1874	[M-H]-	4140	C20H25N3O2	3.314
BML3633330	BML_000	BML00261,BML00268,BML00275	319.1187	[M-H]-	4272	C17H20O6	8.089
BML4945041	BML_000	BML01161,BML01170,BML01179	579.1719	[M-H]-	4441	C27H32O14	5.458000000000001
BML6885148	BML_000	BML00380,BML00386,BML00392	301.1445	[M-H]-	4534	C18H22O4	7.905
BML8581650	BML_000	BML00942,BML00948,BML00954	852.3237	[M-H]-	4666	C47H51NO14	9.64
BML9768201	BML_000	BML01159,BML01168	204.1241	[M-H]-	4678	C9H19NO4	1.629
