accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
RP70473473	RP_000	RP029711,RP029712,RP029713	394.3327	[M-H]-	52922067	C24H45NO3	7.257000000000001
RP99560735	RP_000	RP022911,RP022912,RP022913	181.07180000000002	[M-H]-	71308275	C6H14O6	0.603
RP33310682	RP_000	RP010811,RP010812,RP010813	413.3061	[M-H]-	86289629	C27H42O3	6.824000000000001
RP80557066	RP_000	RP010211,RP010212,RP010213	329.197	[M-H]-	86289688	C17H30O6	3.956
RP31356245	RP_000	RP030911,RP030912,RP030913	284.0888	[M-H]-	89551892	C11H15N3O6	1.186
RP03695215	RP_000	RP009411,RP009412,RP009413	482.2032	[M-H]-	134160316	C23H33NO10	3.1040000000000005
RP94300942	RP_000	RP031711,RP031712,RP031713	282.0844	[M-H]-	135398635	C10H13N5O5	0.714
RP17481707	RP_000	RP031811,RP031812,RP031813	296.1	[M-H]-	135406950	C11H15N5O5	0.902
RP50138171	RP_000	RP018511,RP018512,RP018513	195.05640000000002	[M-H]-	135441800	C12H8N2O	3.679
RP21299482	RP_000	RP031111,RP031112,RP031113	310.1157	[M-H]-	135501639	C12H17N5O5	1.595
RP35556252	RP_000	RP031912	296.1	[M-H]-	135501934	C11H15N5O5	0.928
RP27064617	RP_000	RP009611,RP009612,RP009613	363.20239999999995	[M-H]-	137628431	C17H32O8	2.778
RP52742722	RP_000	RP009311,RP009312,RP009313	466.2083	[M-H]-	137628558	C23H33NO9	3.401
