accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
SM51377363	SM_001	SM874801	405.2272	[M+H]+	5744	C23H32O6	10.838
SM11241581	SM_001	SM812005	119.0604	[M+H]+	5798	C7H6N2	0.476
SM38411297	SM_001	SM801101	110.06	[M+H]+	5801	C6H7NO	0.45
SM86329235	SM_001	SM829401	191.0451	[M+H]+	5955	C9H6N2O3	6.555
SM91065099	SM_001	SM831806	323.0196	[M+H]+	5959	C11H12Cl2N2O5	6.853
SM49999277	SM_001	SM868901	117.0659	[M+H]+	6046	C4H8N2O2	0.751
SM17928086	SM_001	SM811302	198.1026	[M+H]+	6051	C12H11N3	10.583
SM64609084	SM_001	SM806006	94.0651	[M+H]+	6115	C6H7N	0.461
SM58236149	SM_001	SM848601	202.0863	[M+H]+	6129	C12H11NO2	9.468
SM57846753	SM_001	SM880502	172.0427	[M+H]+	6269	C7H9NO2S	4.079
SM11004605	SM_001	SM874903	387.253	[M+H]+	6279	C24H34O4	12.468
SM48227374	SM_001	SM838301	289.1215	[M+H]+	6336	C15H17ClN4	11.6
SM75156909	SM_001	SM878101	277.1282	[M+H]+	6506	C12H20O7	9.239
SM48332070	SM_001	SM883201	369.125	[M+H]+	6527	C21H21O4P	14.043
SM77335407	SM_001	SM883101	183.0781	[M+H]+	6535	C6H15O4P	7.875
SM70181702	SM_001	SM824402,SM880602	399.2506	[M+H]+	6540	C18H39O7P	13.458
SM10472312	SM_001	SM864401	251.0373	[M+H]+	6626	C12H10O4S	7.489
SM10770989	SM_001	SM828202	231.0804	[M+H]+	6697	C17H10O	12.359
SM37227089	SM_001	SM827002	331.1904	[M+H]+	6777	C20H26O4	14.107
SM06829082	SM_001	SM835301	223.0965	[M+H]+	6781	C12H14O4	10.441
SM57920232	SM_001	SM809801,SM882401	122.0964	[M+H]+	6896	C8H11N	1.6320000000000001
SM54949344	SM_001	SM870004	166.0499	[M+H]+	6957	C8H7NO3	0.959
