accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
NA50654687	NA_003	NA000841,NA000843,NA000845,NA001097,NA001099,NA001101,NA001224,NA001226,NA001228,NA001349,NA001351,NA001353,NA001474,NA001476,NA001478,NA001609,NA001611,NA001613,NA001729,NA001731,NA001733,NA001856,NA001858,NA001860,NA001974,NA001976,NA001978,NA002090,NA002092,NA002094	359.1489000000001	[M+H]+	119205	C20H22O6	9.339700000000002
NA63562047	NA_003	NA000902,NA000904,NA000906,NA001033,NA001035,NA001037,NA001157,NA001159,NA001161,NA001279,NA001281,NA001283,NA001409,NA001411,NA001413,NA001534,NA001536,NA001538,NA001669,NA001671,NA001673,NA001789,NA001791,NA001793,NA001911,NA001913,NA002024,NA002026,NA002140,NA002142	249.14850000000018	[M+H]+	135017	C15H20O3	9.2743
NA38911279	NA_003	NA002159,NA002161,NA002180,NA002182,NA002184,NA002209	271.1305	[M+Na]+	135017	C15H20O3	9.373833333333334
NA77219755	NA_003	NA002305,NA002306	545.2381	[M+H]+	154272	C29H36O10	9.419
NA92768742	NA_003	NA002359,NA002360,NA002361,NA002362,NA002363,NA002754,NA002755,NA002756,NA002757,NA002758,NA003134,NA003135,NA003136,NA003137,NA003138,NA003499,NA003500,NA003501,NA003502,NA003503	342.1911	[M+H]+	156006	C17H27NO6	2.5565000000000007
NA22458076	NA_003	NA000897,NA000899,NA000901,NA001028,NA001030,NA001032,NA001152,NA001154,NA001156,NA001274,NA001276,NA001278,NA001404,NA001406,NA001408,NA001529,NA001531,NA001533,NA001664,NA001666,NA001668,NA001784,NA001786,NA001788	235.13289999999992	[M+H]+	169739	C14H18O3	8.444374999999999
NA20657159	NA_003	NA002157,NA002177,NA002179	257.1148	[M+Na]+	169739	C14H18O3	8.520000000000001
NA31609147	NA_003	NA002275,NA002276,NA002277,NA002278,NA002279,NA002672,NA002673,NA002674,NA002675,NA002676,NA003054,NA003055,NA003056,NA003057,NA003058,NA003419,NA003420,NA003421,NA003422,NA003423	354.13360000000006	[M+H]+	197810	C20H19NO5	6.9945
NA05551674	NA_003	NA002324,NA002325,NA002326,NA002327,NA002328,NA002719,NA002720,NA002721,NA002722,NA002723,NA003099,NA003100,NA003101,NA003102,NA003103,NA003464,NA003465,NA003466,NA003467,NA003468	247.13289999999998	[M+H]+	221071	C15H18O3	8.97675
NA04612360	NA_003	NA002479,NA002480,NA002481,NA002482,NA002483,NA002874,NA002875,NA002876,NA002877,NA002878,NA003254,NA003255,NA003256,NA003257,NA003258,NA003619,NA003620,NA003621,NA003622,NA003623	646.3222000000001	[M+H]+	245005	C34H47NO11	9.732250000000002
NA69758566	NA_003	NA000861,NA000863,NA000865,NA000988,NA000990,NA000992,NA001117,NA001119,NA001121,NA001239,NA001241,NA001243,NA001369,NA001371,NA001373,NA001624,NA001626,NA001628,NA001749,NA001751,NA001753,NA001876,NA001878,NA001880,NA001994,NA001996,NA001998,NA002105,NA002107,NA002109	219.17429999999987	[M+H]+	273568	C15H22O	13.121700000000002
NA30863446	NA_003	NA002399,NA002400,NA002401,NA002402,NA002403,NA002794,NA002795,NA002796,NA002797,NA002798,NA003174,NA003175,NA003176,NA003177,NA003178,NA003539,NA003540,NA003541,NA003542,NA003543	546.2698	[M+H]+	285033	C29H39NO9	7.134
NA02130422	NA_003	NA000792,NA000794,NA000796,NA000922,NA000924,NA000926,NA001299,NA001301,NA001303,NA001428,NA001495,NA001497,NA001559,NA001561,NA001563	282.1197000000001	[M+H]+	317398	C11H15N5O4	0.7295999999999999
NA05519722	NA_003	NA002344,NA002345,NA002346,NA002347,NA002348,NA002739,NA002740,NA002741,NA002742,NA002743,NA003119,NA003120,NA003121,NA003122,NA003123,NA003484,NA003485,NA003486,NA003487,NA003488	316.17550000000006	[M+H]+	340066	C15H25NO6	1.1854999999999998
NA94582178	NA_003	NA002429,NA002430,NA002431,NA002432,NA002433,NA002824,NA002825,NA002826,NA002827,NA002828,NA003204,NA003205,NA003206,NA003207,NA003208,NA003569,NA003570,NA003571,NA003572,NA003573	316.17550000000006	[M+H]+	340067	C15H25NO6	1.29375
NA33973688	NA_003	NA002531,NA002532,NA002533,NA002534,NA002535,NA002924,NA002925,NA002926,NA002927,NA002928,NA003299,NA003300,NA003301,NA003302,NA003303,NA003669,NA003670,NA003671,NA003672,NA003673	335.1754	[M+H]+	441071	C21H22N2O2	3.1665
NA27201427	NA_003	NA000873,NA000875,NA000877,NA000998,NA001000,NA001002,NA001127,NA001129,NA001131,NA001249,NA001251,NA001253,NA001379,NA001381,NA001383,NA001504,NA001506,NA001508,NA001639,NA001641,NA001643,NA001886,NA001888,NA001890,NA002004,NA002006,NA002008,NA002115,NA002117,NA002119	128.14339999999996	[M+H]+	441072	C8H17N	0.7061000000000003
NA37161441	NA_003	NA000826,NA000828,NA000830,NA000951,NA000953,NA000955,NA001080,NA001082,NA001084,NA001207,NA001209,NA001211,NA001334,NA001336,NA001338,NA001459,NA001461,NA001463,NA001594,NA001596,NA001598,NA001718,NA001760,NA001762,NA001839,NA001841,NA001843,NA001957,NA001959,NA001961,NA002073,NA002075,NA002077	357.3264	[M+H]+	441082	C24H40N2	5.432363636363636
NA44271005	NA_003	NA002546,NA002547,NA002548,NA002549,NA002550,NA002939,NA002940,NA002941,NA002942,NA002943,NA003314,NA003315,NA003316,NA003317,NA003318,NA003684,NA003685,NA003686,NA003687,NA003688	353.1859999999999	[M+H]+	441975	C21H24N2O3	7.5565
NA06158915	NA_003	NA002270,NA002271,NA002272,NA002273,NA002274,NA002667,NA002668,NA002669,NA002670,NA002671,NA003049,NA003050,NA003051,NA003052,NA003053,NA003414,NA003415,NA003416,NA003417,NA003418	352.17550000000006	[M+H]+	442741	C18H25NO6	1.0335
NA24812462	NA_003	NA002354,NA002355,NA002356,NA002357,NA002358,NA002749,NA002750,NA002751,NA002752,NA002753,NA003129,NA003130,NA003131,NA003132,NA003133,NA003494,NA003495,NA003496,NA003497,NA003498	336.1805000000001	[M+H]+	442764	C18H25NO5	3.42575
NA86578354	NA_003	NA002394,NA002395,NA002396,NA002397,NA002398,NA002789,NA002790,NA002791,NA002792,NA002793,NA003169,NA003170,NA003171,NA003172,NA003173,NA003534,NA003535,NA003536,NA003537,NA003538	414.33669999999995	[M+H]+	442985	C27H43NO2	10.843000000000002
NA55071825	NA_003	NA000868,NA000870,NA000872,NA000993,NA000995,NA000997,NA001122,NA001124,NA001126,NA001244,NA001246,NA001248,NA001374,NA001376,NA001378,NA001499,NA001501,NA001503,NA001754,NA001756,NA001758,NA001881,NA001883,NA001885,NA001999,NA002001,NA002003,NA002110,NA002112,NA002114	220.1193000000001	[M+H]+	449093	C10H13N5O	0.9502999999999999
NA11150814	NA_003	NA002444,NA002445,NA002446,NA002447,NA002448,NA002839,NA002840,NA002841,NA002842,NA002843,NA003219,NA003220,NA003221,NA003222,NA003223,NA003584,NA003585,NA003586,NA003587,NA003588	341.13839999999993	[M+H]+	480764	C20H20O5	11.913000000000002
NA40515203	NA_003	NA000797,NA000799,NA000801,NA000927,NA000929,NA000931,NA001050,NA001052,NA001054,NA001177,NA001179,NA001181,NA001304,NA001306,NA001308,NA001429,NA001431,NA001433,NA001564,NA001566,NA001568,NA001689,NA001691,NA001693,NA001809,NA001811,NA001813,NA001927,NA001929,NA001931,NA002043,NA002045,NA002047	147.0803999999999	[M+H]+	637759	C10H10O	9.396272727272725
NA03584922	NA_003	NA002240,NA002241,NA002242,NA002243,NA002244,NA002638,NA002639,NA002640,NA002641,NA002642,NA003021,NA003022,NA003023,NA003024,NA003025,NA003389,NA003390,NA003391,NA003392,NA003393	243.14919999999992	[M+H]+	854026	C15H18N2O	1.5257500000000002
NA98439535	NA_003	NA002516,NA002517,NA002518,NA002519,NA002520,NA002909,NA002910,NA002911,NA002912,NA002913,NA003284,NA003285,NA003286,NA003287,NA003288,NA003654,NA003655,NA003656,NA003657,NA003658	314.19620000000003	[M+H]+	906426	C16H27NO5	1.8422500000000004
NA70865080	NA_003	NA002459,NA002460,NA002461,NA002462,NA002463,NA002854,NA002855,NA002856,NA002857,NA002858,NA003234,NA003235,NA003236,NA003237,NA003238,NA003599,NA003600,NA003601,NA003602,NA003603	356.1855999999999	[M+H]+	969488	C21H25NO4	7.46725
NA99933880	NA_003	NA000779,NA000781,NA001544,NA001546,NA001548	781.4369	[M+H]+	2724385	C41H64O14	11.2106
NA78945962	NA_003	NA002571,NA002572,NA002573,NA002574,NA002575	784.4168	[M+H]+	3007984	C45H57N3O9	14.556000000000001
NA65414537	NA_003	NA002576,NA002577,NA002578,NA002579,NA002580,NA002964,NA002965,NA002966,NA002967,NA002968,NA003339,NA003340,NA003341,NA003342,NA003343,NA003709,NA003710,NA003711,NA003712,NA003713	130.03209999999996	[M+H]+	3034683	C5H7NOS	1.20475
NA66730992	NA_003	NA002596,NA002597,NA002598,NA002599,NA002600,NA002984,NA002985,NA002986,NA002987,NA002988,NA003359,NA003360,NA003361,NA003362,NA003363,NA003729,NA003730,NA003731,NA003732,NA003733	223.0601	[M+H]+	3083616	C11H10O5	7.605500000000001
