accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
LQB8213701	LQB_000	LQB00123,LQB00509	836.5422	[M+CH3COOH-H]-	138177268	8.462694
LQB4193330	LQB_000	LQB00071,LQB00457	762.6942	[M+CH3COOH-H]-	138177929	13.53129
LQB5427374	LQB_000	LQB00272,LQB00273,LQB00658,LQB00659	793.50225	[M-H]-	138179182	7.942480999999999
LQB9408142	LQB_000	LQB00218,LQB00604	826.6211	[M-H]-	138180410	13.16316
LQB5500435	LQB_000	LQB00276,LQB00662	843.513	[M-H]-	138180945	8.049838
LQB9649366	LQB_000	LQB00336,LQB00722	810.5303	[M-H]-	138181120	8.778674
LQB6853768	LQB_000	LQB00215,LQB00216,LQB00601,LQB00602	790.5358000000001	[M-H]-	138182636	9.661323
LQB2477203	LQB_000	LQB00268,LQB00269,LQB00654,LQB00655	821.5344500000001	[M-H]-	138183060	8.188576000000001
LQB9982289	LQB_000	LQB00109,LQB00495	840.5738	[M+CH3COOH-H]-	138183174	9.304044
LQB9983888	LQB_000	LQB00234,LQB00620	836.524	[M-H]-	138183664	8.961686
LQB0744874	LQB_000	LQB00259,LQB00645	797.5328	[M-H]-	138183909	8.798367
LQB9949178	LQB_000	LQB00332,LQB00718	820.5176	[M-H]-	138184086	8.489819
LQB7591276	LQB_000	LQB00146,LQB00532	872.6387	[M+CH3COOH-H]-	138186336	10.98681
LQB0451204	LQB_000	LQB00147,LQB00533	868.6054	[M+CH3COOH-H]-	138187111	9.698568
LQB5172587	LQB_000	LQB00257,LQB00258,LQB00643,LQB00644	773.52825	[M-H]-	138187875	8.7974285
LQB0026627	LQB_000	LQB00095,LQB00481	826.5599	[M+CH3COOH-H]-	138188911	8.968454
LQB5680709	LQB_000	LQB00217,LQB00603	788.5205	[M-H]-	138191210	9.413862
LQB8404766	LQB_000	LQB00060,LQB00446	704.6157	[M+CH3COOH-H]-	138191316	12.5883
LQB2849174	LQB_000	LQB00244,LQB00245,LQB00246,LQB00630,LQB00631,LQB00632	773.5330666666665	[M-H]-	138192286	8.783538666666667
LQB7934026	LQB_000	LQB00072,LQB00458	790.723	[M+CH3COOH-H]-	138192557	13.77116
LQB8510133	LQB_000	LQB00179,LQB00565	736.4889	[M-H]-	138193610	9.01695
LQB7561381	LQB_000	LQB00162,LQB00548	886.5593	[M+CH3COOH-H]-	138196394	8.51622
LQB9249962	LQB_000	LQB00334,LQB00720	816.5691	[M-H]-	138198087	9.942993
LQB5795491	LQB_000	LQB00025,LQB00026,LQB00411,LQB00412	582.5065	[M+CH3COOH-H]-	138198887	9.366308
LQB4887141	LQB_000	LQB00204,LQB00205,LQB00590,LQB00591	792.55315	[M-H]-	138198992	10.44802
LQB0707715	LQB_000	LQB00306,LQB00692	861.5504	[M-H]-	138199526	8.773114
LQB7308178	LQB_000	LQB00188,LQB00574	734.4739	[M-H]-	138200868	8.536031
LQB9203093	LQB_000	LQB00014,LQB00400	640.5468	[M+CH3COOH-H]-	138201662	10.33018
LQB9136774	LQB_000	LQB00338,LQB00724	838.5547	[M-H]-	138202734	9.189651
LQB7020228	LQB_000	LQB00267,LQB00653	823.5513	[M-H]-	138202930	8.419072
LQB1066849	LQB_000	LQB00137,LQB00523	870.621	[M+CH3COOH-H]-	138203340	10.56657
LQB1046464	LQB_000	LQB00230,LQB00616	810.5032	[M-H]-	138203689	8.866551
LQB4043896	LQB_000	LQB00227,LQB00613	794.5645	[M-H]-	138210698	11.56566
LQB8301853	LQB_000	LQB00368,LQB00754	857.6783	[M+CH3COOH-H]-	138212311	11.40931
LQB8826563	LQB_000	LQB00170,LQB00556	710.474	[M-H]-	138212407	8.782741
LQB5326648	LQB_000	LQB00201,LQB00202,LQB00587,LQB00588	764.51925	[M-H]-	138212599	9.771157500000001
LQB1145641	LQB_000	LQB00199,LQB00585	768.5525	[M-H]-	138214139	10.76308
LQB6943622	LQB_000	LQB00341,LQB00727	784.5134	[M-H]-	138215295	8.441325
