accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
PR84980819	PR_000	PR307960,PR307961,PR307962,PR307963,PR307964,PR307965,PR307966,PR307967,PR307968,PR307969,PR307970,PR307971,PR308737	357.1343617979968	[M-H]-	345761	C20H22O6	5.9631384615384615
PR88453474	PR_000	PR309350	399.093	[M+HCOO]-	346340	C16H18O9	3.12
PR23586166	PR_000	PR306012,PR306018,PR306024,PR306030,PR306036,PR306042,PR306048,PR306053,PR306059,PR306065,PR306071,PR306076,PR309313	285.0768473672277	[M-H]-	348130	C16H14O5	7.422153538461537
PR87210603	PR_000	PR309015,PR309016,PR309017	353.0869	[M-H]-	348159	C16H18O9	3.1
PR48936719	PR_000	PR307350,PR307352,PR307355,PR307357,PR307359,PR307361,PR307363,PR307365,PR307367,PR307369,PR307371,PR308758	401.1089354641775	[M+HCOO]-	354445	C16H20O9	3.443865583333334
PR24567024	PR_000	PR307349,PR307351,PR307353,PR307354,PR307356,PR307358,PR307360,PR307362,PR307364,PR307366,PR307368,PR307370	355.1034557478301	[M-H]-	354445	C16H20O9	3.4442170000000005
PR67358089	PR_000	PR308121,PR308123,PR308125,PR308127,PR308129,PR308131,PR308133,PR308136,PR308138,PR308140,PR308142,PR309442	165.05571793551078	[M-H]-	361171	C9H10O3	3.175508333333333
PR91007916	PR_000	PR308944	433.1351	[M+HCOO]-	369002	C17H24O10	3.84
PR52531980	PR_000	PR309288	445.1148	[M-H]-	369636	C22H22O10	4.09
PR59436190	PR_000	PR308288,PR308291,PR308294,PR308297,PR308300,PR308304,PR308307,PR308310,PR308312,PR308315,PR308318,PR308716	435.1296705058441	[M+HCOO]-	393787	C20H22O8	4.04258225
PR78284805	PR_000	PR308287,PR308290,PR308293,PR308296,PR308299,PR308301,PR308303,PR308306,PR308309,PR308311,PR308314,PR308317,PR308966	389.12419115184304	[M-H]-	393787	C20H22O8	4.042600307692307
PR90286650	PR_000	PR304597,PR304601,PR304605,PR304609,PR304613,PR304619,PR304623,PR304627,PR304631,PR304635,PR304639,PR308879	383.1976308688441	[M-H]-	409518	C22H28N2O4	4.634384416666666
PR28639725	PR_000	PR308531,PR308538,PR308543,PR308548,PR308555,PR308562,PR308568,PR308581,PR308587,PR308594,PR308600,PR308723	1273.5706298641778	[M+HCOO]-	409778	C56H92O29	6.981375
PR62507649	PR_000	PR308530,PR308537,PR308542,PR308547,PR308554,PR308561,PR308567,PR308574,PR308580,PR308586,PR308593,PR308599,PR308722	1227.5651505056894	[M-H]-	409778	C56H92O29	6.981384615384615
PR85401722	PR_000	PR307232,PR307234,PR307236,PR307238,PR307240,PR307242,PR307244,PR307246,PR307248,PR307250,PR307252,PR307254,PR308764	424.0377616133814	[M-H]-	415565	C14H19NO10S2	2.003615692307693
PR36944749	PR_000	PR304747,PR304749,PR304751,PR304753,PR304755,PR304757,PR304759,PR304761,PR304763,PR304765,PR304767,PR304769,PR308865	328.1554316133815	[M-H]-	416119	C19H23NO4	3.043661846153846
PR74709211	PR_000	PR307170,PR307174,PR307178,PR307182,PR307186,PR307189,PR307193,PR307197,PR307201,PR307205,PR307209,PR307213,PR308761	358.02719727491996	[M-H]-	417411	C10H17NO9S2	1.768107692307692
PR23067889	PR_000	PR305233,PR305235,PR305237,PR305239,PR305241,PR305243,PR305245,PR305248,PR305250,PR305252,PR305254,PR305256,PR308882	399.1925458903046	[M-H]-	419781	C22H28N2O5	3.8931846153846155
PR50010698	PR_000	PR308993	1127.5479	[M+HCOO]-	426059	C51H86O24	4.91
PR26310147	PR_000	PR308994	1081.5402	[M-H]-	426059	C51H86O24	4.92
PR30773304	PR_000	PR304999,PR305000,PR305001,PR305002,PR305003,PR308876	374.19729716999996	[M+HCOO]-	431673	C20H27NO3	3.0675833333333333
PR49206693	PR_000	PR307803,PR307808,PR307813,PR307818,PR307823,PR307828,PR307833,PR307838,PR307843,PR307852,PR307856,PR308679	845.4904098203333	[M+HCOO]-	432116	C42H72O14	4.799220833333332
PR46035772	PR_000	PR305319,PR305320,PR305322,PR305324,PR305326,PR305327,PR305329,PR305331,PR305333,PR305334,PR305336,PR305338,PR308682	991.5483187555357	[M+HCOO]-	432449	C48H82O18	4.790415384615384
PR75994930	PR_000	PR305318,PR305321,PR305323,PR305325,PR305328,PR305330,PR305332,PR305335,PR305337,PR308681	945.542839413047	[M-H]-	432449	C48H82O18	4.790405
PR66171063	PR_000	PR307806,PR307811,PR307816,PR307821,PR307826,PR307831,PR307836,PR307841,PR307846,PR307850,PR308688	1123.5905780471182	[M+HCOO]-	432450	C53H90O22	6.159697272727272
PR71975298	PR_000	PR307805,PR307810,PR307815,PR307820,PR307825,PR307830,PR307835,PR307840,PR307845,PR307849,PR307854,PR307858,PR308684	1077.5850986595356	[M-H]-	432450	C53H90O22	6.159692615384615
PR62556456	PR_000	PR307591,PR307595,PR307598,PR307602,PR307607,PR307611,PR307614,PR307619,PR307624,PR307628,PR308690	1153.601141683482	[M+HCOO]-	432524	C54H92O23	5.889590909090909
PR19790271	PR_000	PR307590,PR307594,PR307597,PR307601,PR307606,PR307610,PR307613,PR307618,PR307623,PR307627,PR307631,PR307635,PR308686	1107.5956623518432	[M-H]-	432524	C54H92O23	5.889584615384615
PR09652950	PR_000	PR307268,PR307269,PR307270,PR307271,PR307272,PR307273,PR307274,PR307275,PR307276,PR307277,PR307278,PR307279,PR308763	408.04284727491995	[M-H]-	437038	C14H19NO9S2	2.8276304615384613
PR47965135	PR_000	PR309373,PR309374	249.12325	[M-H]-	439877	C13H18N2O3	2.325
PR74457892	PR_000	PR308081,PR308083,PR308085,PR308087,PR308088,PR308090,PR308092,PR308094,PR308095,PR308097,PR308099,PR309443	147.04515279384415	[M-H]-	440733	C9H8O2	4.522276083333334
