accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
AU90810055	AU_002	AU312401,AU312402,AU312403,AU312404,AU312405	305.1083	[M+H]+	3017	C12H21N2O3PS	10.879999999999999
AU60381924	AU_002	AU114706	296.024	[M+H]+	3033	C14H11Cl2NO2	10.508
AU83428833	AU_002	AU260001,AU260002,AU260003,AU260004,AU260005,AU260006	220.9532	[M+H]+	3039	C4H7Cl2O4P	6.951999999999999
AU16081777	AU_002	AU300901,AU300902,AU300903,AU300904,AU300905,AU300906	230.0069	[M+H]+	3082	C5H12NO3PS2	5.146333333333334
AU92844241	AU_002	AU267101,AU267102,AU267103,AU267104,AU267105,AU267106	256.1696	[M+H]+	3100	C17H21NO	6.4511666666666665
AU84852922	AU_002	AU241201,AU241202,AU241203,AU241204,AU241205,AU241206,AU341002,AU341003,AU341004,AU341005	233.02429999999998	[M+H]+	3120	C9H10Cl2N2O	8.5127
AU54964128	AU_002	AU273901,AU273902,AU273903,AU273904,AU273905,AU273906	426.1691	[M+H]+	3151	C22H24ClN5O2	5.7941666666666665
AU80521776	AU_002	AU120701,AU120702,AU120703,AU120704,AU120705	380.1769	[M+H]+	3168	C22H22FN3O2	6.405200000000001
AU19628285	AU_002	AU120730,AU120731,AU120732	402.1588	[M+Na]+	3168	C22H22FN3O2	6.410666666666668
AU58432755	AU_002	AU251201,AU251202,AU251203,AU251204,AU251205,AU251206	470.3054	[M+H]+	3191	C32H39NO2	10.741999999999999
AU02287387	AU_002	AU235701,AU235702,AU235703,AU235704,AU235705,AU235706	316.0347	[M+H]+	3203	C14H9ClF3NO2	10.648000000000001
AU35075619	AU_002	AU260701,AU260702,AU260703,AU260704,AU260705,AU260706	384.9949	[M+H]+	3286	C9H22O4P2S4	12.489333333333333
AU18999119	AU_002	AU224801,AU224802,AU224803,AU224804,AU224805	232.1308	[M+H]+	3337	C12H16F3N	6.2
AU38298302	AU_002	AU271001,AU271002,AU271003,AU271004,AU271005,AU271006	361.12010000000004	[M+H]+	3339	C20H21ClO4	12.425000000000002
AU57888767	AU_002	AU154501,AU154502,AU154503,AU154504,AU154505	337.2274	[M+H]+	3345	C22H28N2O	6.1
AU23895355	AU_002	AU315501,AU315502,AU315503,AU315504,AU315505,AU315506	279.0273	[M+H]+	3346	C10H15O3PS2	10.943333333333333
AU40855846	AU_002	AU227601,AU227602,AU227603,AU227604,AU227605,AU227606	415.1451	[M+H]+	3356	C17H20F6N2O3	6.307666666666666
AU32015941	AU_002	AU235201,AU235202,AU235203,AU235204,AU235205,AU235206	307.1113	[M+H]+	3365	C13H12F2N6O	5.134833333333333
AU53339194	AU_002	AU223901,AU223902,AU223903	130.0411	[M+H]+	3366	C4H4FN3O	1.569
AU50187170	AU_002	AU103001,AU103002,AU103003	262.0874	[M+H]+	3374	C14H12FNO3	7.388000000000001
AU32035026	AU_002	AU159502,AU159503,AU159504,AU159505	314.0935	[M+H]+	3380	C16H12FN3O3	7.6
AU22652651	AU_002	AU150901,AU150902,AU150903,AU150904,AU150905	310.1413	[M+H]+	3386	C17H18F3NO	8.6
AU75576038	AU_002	AU163101,AU163102,AU163103,AU163104,AU163105	388.1586	[M+H]+	3393	C21H23ClFN3O	6.8676
AU87239480	AU_002	AU163130,AU163131,AU163132	410.1406	[M+Na]+	3393	C21H23ClFN3O	13.006
AU64826625	AU_002	AU235001,AU235002,AU235003,AU235004,AU235005,AU235006	277.0795	[M+H]+	3397	C11H11F3N2O3	11.170499999999999
AU24796723	AU_002	AU274001,AU274002,AU274003,AU274004,AU274005,AU274006	319.1628	[M+H]+	3404	C15H21F3N2O2	8.109499999999999
AU60117244	AU_002	AU596800,AU596801,AU596802,AU596803,AU596804	722.3957	[M+H]+	3431	C34H59NO15	8.671000000000001
AU30146546	AU_002	AU596900,AU596901,AU596902,AU596903,AU596904	706.4008	[M+H]+	3432	C34H59NO14	10.396799999999999
AU91378375	AU_002	AU269201,AU269202,AU269203,AU269204,AU269205,AU269206	331.01499999999993	[M+H]+	3440	C12H11ClN2O5S	6.0215
AU66327397	AU_002	AU167801,AU167802,AU167803,AU167806	172.1332	[M+H]+	3446	C9H17NO2	3.7032500000000006
AU79117194	AU_002	AU269101,AU269102,AU269103,AU269104,AU269105,AU269106	251.16419999999997	[M+H]+	3463	C15H22O3	11.923
AU39484929	AU_002	AU235501,AU235502,AU235503,AU235504,AU235505,AU235506	491.23230000000007	[M+H]+	3476	C24H34N4O5S	10.614333333333335
AU16689222	AU_002	AU235401,AU235402,AU235403,AU235404,AU235405,AU235406	494.1511	[M+H]+	3488	C23H28ClN3O5S	10.145999999999999
AU07629011	AU_002	AU274101,AU274102,AU274103,AU274104,AU274105,AU274106	336.1837	[M+H]+	3652	C18H26ClN3O	3.7535000000000003
AU79232323	AU_002	AU121201,AU121202,AU121203,AU121204,AU121205,AU121206	235.18049999999997	[M+H]+	3676	C14H22N2O	4.465
AU17780554	AU_002	AU272301,AU272302,AU272303,AU272304,AU272305,AU272306	261.03209999999996	[M+H]+	3690	C7H15Cl2N2O2P	5.8373333333333335
AU45612337	AU_002	AU150806	281.2012	[M+H]+	3696	C19H24N2	8.18
AU67056209	AU_002	AU271401,AU271402,AU271403,AU271404,AU271405,AU271406	358.0841	[M+H]+	3715	C19H16ClNO4	10.6685
AU35076779	AU_002	AU276502,AU276504,AU276505,AU276506	821.8876	[M+H]+	3730	C19H26I3N3O9	2.71725
AU41818570	AU_002	AU209402,AU209403,AU209404,AU209405	429.2397	[M+H]+	3749	C25H28N6O	9.1
AU50347518	AU_002	AU223001,AU223002,AU223003	129.1022	[M+H]+	3772	C6H12N2O	1.404
AU11984157	AU_002	AU223030	151.0842	[M+Na]+	3772	C6H12N2O	1.432
AU84769913	AU_002	AU227201,AU227202,AU227203,AU227204,AU227205,AU227206,AU265301,AU265302,AU265303,AU265304,AU265305,AU265306	231.14919999999998	[M+H]+	3778	C14H18N2O	7.4454166666666675
AU52369529	AU_002	AU158601,AU158602,AU158603,AU158604,AU158605,AU158606	238.0993	[M+H]+	3821	C13H16ClNO	4.562833333333334
AU16299042	AU_002	AU115004,AU115005,AU115006	255.1016	[M+H]+	3825	C16H14O3	8.642000000000001
AU29877654	AU_002	AU275701,AU275702,AU275703,AU275704,AU275705,AU275706	329.186	[M+H]+	3869	C19H24N2O3	5.610333333333333
AU37316797	AU_002	AU152801,AU152802,AU152803,AU152804,AU152805,AU152806	256.0151	[M+H]+	3878	C9H7Cl2N5	5.186166666666666
AU13342584	AU_002	AU250401,AU250402,AU250403,AU250404,AU250405,AU250406	477.2303	[M+H]+	3955	C29H33ClN2O2	8.283166666666666
AU49945959	AU_002	AU226801,AU226802,AU226803,AU226804,AU226805,AU226806	383.1521	[M+H]+	3957	C22H23ClN2O2	11.726666666666667
AU39740184	AU_002	AU151201,AU151202,AU151203,AU151204,AU151205,AU151206	321.0192	[M+H]+	3958	C15H10Cl2N2O2	8.890333333333333
AU98333875	AU_002	AU228001,AU228002,AU228003,AU228004,AU228005,AU228006	423.1695	[M+H]+	3961	C22H23ClN6O	8.498333333333333
AU67970935	AU_002	AU162501,AU162502,AU162503,AU162504,AU162505	324.207	[M+H]+	3981	C20H25N3O	5.6926000000000005
AU29934088	AU_002	AU162530	346.189	[M+Na]+	3981	C20H25N3O	9.402
AU83430890	AU_002	AU222101,AU222102,AU222103,AU222104,AU222105	278.1903	[M+H]+	4011	C20H23N	8.5346
AU77062163	AU_002	AU274401,AU274402,AU274403,AU274404,AU274405,AU274406	430.2588	[M+H]+	4031	C25H35NO5	6.680833333333335
AU46353783	AU_002	AU115106	242.1176	[M+H]+	4044	C15H15NO2	11.703
AU26777680	AU_002	AU267901,AU267902,AU267903,AU267904,AU267905,AU267906	180.1747	[M+H]+	4054	C12H21N	6.722666666666668
AU93707282	AU_002	AU112702,AU112703	130.1087	[M+H]+	4091	C4H11N5	1.45
AU13330902	AU_002	AU162801,AU162802,AU162803,AU162804,AU162805	310.2165	[M+H]+	4095	C21H27NO	8.0
AU12430809	AU_002	AU261601,AU261602,AU261603,AU261605,AU261606	264.009	[M+H]+	4130	C8H10NO5PS	9.2934
