accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
AC77241662	AC_003	AC000517,AC000518,AC000519	335.1096	[M+Na]+	5284433	2.15
AC99336272	AC_003	AC000233,AC000234,AC000235,AC000236,AC000237	467.227	[M+H]+	5284461	3.56
AC28805052	AC_003	AC000238,AC000239,AC000240,AC000241,AC000242	489.20889999999997	[M+Na]+	5284461	3.56
AC07777138	AC_003	AC000060,AC000061,AC000062	259.0595	[M+H]+	5359485	3.17
AC77046302	AC_003	AC000063,AC000064,AC000065	273.0752	[M+H]+	5360741	3.64
AC90587176	AC_003	AC000520,AC000521,AC000522,AC000523,AC000524	515.2634	[M+H]+	5458516	3.78
AC34318169	AC_003	AC000525,AC000526,AC000527,AC000528,AC000529	537.2453	[M+Na]+	5458516	3.78
AC39571484	AC_003	AC000569,AC000570,AC000571,AC000572,AC000573	267.1585	[M+H]+	5459101	2.91
AC39167986	AC_003	AC000318,AC000319,AC000320,AC000321,AC000322	326.1858	[M+H]+	5486180	2.36
AC37222804	AC_003	AC000592,AC000593,AC000594,AC000595,AC000596	545.2376	[M+H]+	6437354	3.18
AC27664613	AC_003	AC000597,AC000598,AC000599,AC000600	567.2195	[M+Na]+	6437354	3.18
AC63184299	AC_003	AC000258,AC000259,AC000260,AC000261,AC000262	485.2164000000001	[M+H]+	6437363	3.97
AC59762832	AC_003	AC000263,AC000264,AC000265,AC000266,AC000267	507.19840000000005	[M+Na]+	6437363	3.97
AC60078463	AC_003	AC000081,AC000082,AC000083,AC000084,AC000085	529.2692	[M+H]+	6438437	3.6800000000000006
AC11296739	AC_003	AC000086,AC000087,AC000088,AC000089	551.2511	[M+Na]+	6438437	3.68
AC75596518	AC_003	AC000786,AC000787,AC000788,AC000789,AC000790	436.1974	[M+H]+	6440491	2.68
AC44421745	AC_003	AC000243,AC000244,AC000245,AC000246,AC000247	317.2106	[M+H]+	6442110	4.55
AC17865014	AC_003	AC000545,AC000546,AC000547,AC000548,AC000549	433.14070000000004	[M+H]+	6450533	4.21
AC38662015	AC_003	AC000499,AC000500,AC000501,AC000502	634.2925	[M+H]+	6610243	4.21
