accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
AU15860882	AU_000	AU224751,AU224752,AU224753,AU224754,AU224755	562.2939	[M-H]-	55891	11.582799999999999
AU29019878	AU_000	AU112951,AU112952,AU112953,AU112954,AU112955	557.2457	[M-H]-	60823	9.2564
AU36110313	AU_000	AU111251,AU111252,AU111253,AU111254	434.2198	[M-H]-	60846	6.5375000000000005
AU37032622	AU_000	AU235357,AU235358,AU235359,AU235360	358.142	[M-H]-	60953	7.4715
AU18975852	AU_000	AU201451,AU201452,AU201453,AU201454	294.0554	[M-H]-	65280	3.67725
AU90657386	AU_000	AU218951,AU218952,AU218953	451.2602	[M-H]-	65981	11.141333333333334
AU46594097	AU_000	AU225151,AU225152,AU225153,AU225154,AU225155	513.2296	[M-H]-	65999	9.5818
AU10564263	AU_000	AU230862	152.0021	[M-H]-	66760	6.379
AU31760388	AU_000	AU231157,AU231158,AU231159,AU231160,AU231162	273.0074	[M-H]-	67310	4.5242
AU91782908	AU_000	AU240657,AU240658,AU240659,AU240662,AU594650,AU594651,AU594652	312.9728	[M-H]-	67542	7.753142857142857
AU49798532	AU_000	AU595250,AU595251,AU595252,AU595253,AU595254	612.9537	[M-H]-	67545	12.1086
AU32094348	AU_000	AU596150,AU596151,AU596152,AU596153,AU596154	598.9238	[M-H]-	67636	11.5862
AU66980049	AU_000	AU595750,AU595751,AU595752,AU595753	398.9366	[M-H]-	67734	8.8485
AU82268218	AU_000	AU595550,AU595551,AU595552,AU595553	298.943	[M-H]-	67815	6.6805
AU39566979	AU_000	AU241057,AU241058,AU241059,AU241060,AU241062,AU594750,AU594751,AU594752	362.96959999999996	[M-H]-	67818	8.814124999999999
AU44138160	AU_000	AU595851,AU595852,AU595853	448.93340000000006	[M-H]-	67820	9.686666666666667
AU37958795	AU_000	AU594950,AU594951,AU594952	462.9632	[M-H]-	67821	10.459999999999999
AU77918925	AU_000	AU240957,AU240958,AU240959,AU240960,AU240962,AU595450,AU595451,AU595452,AU595453,AU595454	712.9472999999999	[M-H]-	67822	12.8663
AU40669544	AU_000	AU200951,AU200952,AU200953	161.022	[M-H]-	67874	8.180666666666667
AU12538506	AU_000	AU230357,AU230358,AU230359,AU230360,AU593850,AU593851,AU593852	497.9461999999999	[M-H]-	69785	11.472142857142858
AU26461708	AU_000	AU368851,AU368852,AU368853	386.0234	[M-H]-	73674	4.240333333333333
AU32394684	AU_000	AU240557,AU240558,AU240559,AU240560,AU240562,AU595950,AU595951,AU595952,AU595953,AU595954	498.9301999999999	[M-H]-	74483	10.384599999999997
AU84716966	AU_000	AU594550,AU594551	262.976	[M-H]-	75921	6.4350000000000005
AU91959604	AU_000	AU595650,AU595651,AU595652,AU595653	348.9398	[M-H]-	75922	7.8775
AU34039829	AU_000	AU595150,AU595151,AU595152,AU595153	562.9568	[M-H]-	77222	11.6305
AU46313095	AU_000	AU204251,AU204252	199.0547	[M-H]-	78441	6.1025
AU69371240	AU_000	AU237462	422.8195	[M-H]-	84907	12.114
AU51943122	AU_000	AU232257,AU232258,AU303651	254.045	[M-H]-	86418	4.684333333333334
AU91789186	AU_000	AU596050,AU596051,AU596052,AU596053,AU596054	548.927	[M-H]-	86998	11.059000000000001
AU24252051	AU_000	AU405551,AU405552,AU405553	152.0021	[M-H]-	88761	6.31
AU85876431	AU_000	AU231557,AU231558,AU231559,AU231560	393.0668	[M-H]-	91735	11.72475
AU28024673	AU_000	AU231857,AU231858,AU231859,AU231860	332.0904	[M-H]-	91755	9.1415
AU57439815	AU_000	AU238657,AU238658,AU238659,AU238660,AU238662	327.0099	[M-H]-	91760	3.7698
AU63626218	AU_000	AU233457,AU233458,AU233459,AU233460	487.029	[M-H]-	91766	12.7915
AU11666775	AU_000	AU230457,AU230458,AU230459,AU230460,AU594250,AU594251,AU594252	426.96790000000004	[M-H]-	119688	9.646714285714284
AU93131844	AU_000	AU234757,AU234758,AU234759,AU234760	251.0826	[M-H]-	129274	5.99575
AU40157435	AU_000	AU214851,AU214852,AU214853,AU214854,AU214855	703.3825	[M-H]-	148192	10.8632
AU01042941	AU_000	AU218151,AU218152,AU218153,AU218154,AU218155	555.2898	[M-H]-	208898	12.7284
AU83846770	AU_000	AU232657,AU232658	341.0254	[M-H]-	213013	9.4335
AU34985397	AU_000	AU232857,AU232858,AU232859,AU232860	248.0014	[M-H]-	213027	4.81775
AU27703515	AU_000	AU239357,AU239358,AU239359,AU239360	359.1864	[M-H]-	222786	7.3345
AU49982397	AU_000	AU210251,AU210252,AU210253,AU210254,AU210255	410.1773	[M-H]-	446155	9.897200000000002
AU04096894	AU_000	AU239757,AU239758,AU239759	329.2122	[M-H]-	521928	9.973999999999998
AU05454190	AU_000	AU233657,AU233658	158.0127	[M-H]-	594330	3.3325
AU38381371	AU_000	AU238562	169.0441	[M-H]-	657298	4.44
