accession	inchikey1	model	ionization
AU13816067	PZXOQEXFMJCDPG	0	positive
AU13858326	PJVWKTKQMONHTI	7	positive
AU13967459	IVDOUUOLLFEMJQ	0	positive
AU13977004	PSFDQSOCUJVVGF	0	positive
AU14000583	WXCMHFPAUCOJIG	0	positive
AU14165971	JZFPYUNJRRFVQU	0	positive
AU14283523	PZBPKYOVPCNPJY	0	positive
AU14398573	DDLIGBOFAVUZHB	0	positive
AU14578348	ULGZDMOVFRHVEP	9	positive
AU14613661	GCFBRXLSHGKWDP	3	positive
AU14636673	CFXCGWWYIDZIMU	0	positive
AU14718735	FSQKKOOTNAMONP	0	positive
AU14758595	WJCNZQLZVWNLKY	6	positive
AU14945426	JWYUFVNJZUSCSM	0	positive
AU15001992	MWWBDLRPMWTLRX	0	positive
AU15110780	RXPQRKFMDQNODS	0	positive
AU15115964	KNHUKKLJHYUCFP	3	positive
AU15361588	ZHBBDQFXEDCQFI	0	positive
AU15392784	JWUXJYZVKZKLTJ	0	positive
AU15470194	ASLWPAWFJZFCKF	0	positive
AU15543426	QYPPJABKJHAVHS	0	positive
AU15820969	KIQQMECNKUGGKA	0	positive
AU15973004	BRBKOPJOKNSWSG	0	positive
AU16069832	IIBYAHWJQTYFKB	0	positive
AU16081777	MCWXGJITAZMZEV	0	positive
AU16165077	GAGWJHPBXLXJQN	9	positive
AU16299042	DKYWVDODHFEZIM	9	positive
AU16350684	UWMXVJVTKRSOPW	0	positive
AU16396843	HOYCASTVMCEOTP	0	positive
AU16467051	WRPIRSINYZBGPK	0	positive
AU16607465	GNFTWPCIRXSCQF	0	positive
AU16616111	MKPDWECBUAZOHP	0	positive
AU16689222	ZNNLBTZKUZBEKO	5	positive
AU16781493	PCZOHLXUXFIOCF	8	positive
AU16873489	HYHJOUPYTUBFIX	0	positive
AU16920194	QPVPJECIHVSBLZ	0	positive
AU17020028	ZBMZVLHSJCTVON	0	positive
AU17025542	QNPPIKMBCJUUTG	0	positive
AU17274030	YNDXUCZADRHECN	0	positive
AU17288552	KVWDHTXUZHCGIO	0	positive
AU17312563	NZCRJKRKKOLAOJ	0	positive
AU17555650	HXAIQOCRALNGKB	0	positive
AU17691775	BEZZFPOZAYTVHN	3	positive
AU17780554	HOMGKSMUEGBAAB	0	positive
AU17877691	AXRYRYVKAWYZBR	0	positive
AU17938997	JDNLPKCAXICMBW	0	positive
AU18071880	NBLIPZBCGXIEFO	0	positive
AU18367368	BRUQQQPBMZOVGD	0	positive
AU18412952	HWGBHCRJGXAGEU	8	positive
AU18442448	CMSMOCZEIVJLDB	0	positive
AU18456926	RDMFHRSPDKWERA	0	positive
AU18750677	DNVLJEWNNDHELH	0	positive
AU18862895	NZHUXMZTSSZXSB	0	positive
AU18874729	DUUGKQCEGZLZNO	8	positive
AU18999119	DBGIVFWFUFKIQN	0	positive
AU19026963	DHSUYTOATWAVLW	0	positive
AU19044154	HQUQLFOMPYWACS	0	positive
AU19063860	OKRNLSUTBJUVKA	0	positive
AU19235031	DHNRXBZYEKSXIM	0	positive
AU19266049	PZXOQEXFMJCDPG	0	positive
AU19285622	FFGPTBGBLSHEPO	0	positive
AU19295699	QMHAHUAQAJVBIW	0	positive
AU19373638	IQXXEPZFOOTTBA	0	positive
AU19628285	RMEDXOLNCUSCGS	0	positive
AU19628811	UURAUHCOJAIIRQ	0	positive
AU19710614	VMXUWOKSQNHOCA	0	positive
AU19752637	QGHREAKMXXNCOA	1	positive
AU19846649	ULGZDMOVFRHVEP	9	positive
AU19903853	KJHKTHWMRKYKJE	0	positive
AU19962530	NDDAHWYSQHTHNT	8	positive
AU20107351	VAOCPAMSLUNLGC	0	positive
AU20111787	YFBPRJGDJKVWAH	0	positive
AU20137824	DMSMPAJRVJJAGA	0	positive
AU20230099	VLJNHYLEOZPXFW	0	positive
AU20272771	RYYVLZVUVIJVGH	6	positive
AU20374450	GOVWOKSKFSBNGD	0	positive
AU20608233	TZBJGXHYKVUXJN	8	positive
AU20794955	DAWYIZBOUQIVNX	0	positive
AU20875327	OFCNXPDARWKPPY	5	positive
AU20929349	FIQMHBFVRAXMOP	0	positive
AU20989403	XNSGCNYTNLWRKM	0	positive
AU21153868	FDDDEECHVMSUSB	5	positive
AU21212327	RMMXLENWKUUMAY	7	positive
AU21360752	QYPPJABKJHAVHS	0	positive
AU21479225	GVGLGOZIDCSQPN	0	positive
AU21479688	YHQDZJICGQWFHK	0	positive
AU21663403	GDLIGKIOYRNHDA	4	positive
AU21760678	ZAIPMKNFIOOWCQ	3	positive
AU21851088	SDUQYLNIPVEERB	0	positive
AU21855672	RYMZZMVNJRMUDD	0	positive
AU22002244	MOOFYEJFXBSZGE	0	positive
AU22301918	VDBHOHJWUDKDRW	0	positive
AU22330355	RZEKVGVHFLEQIL	7	positive
AU22385344	KWTSXDURSIMDCE	0	positive
AU22543794	MCWXGJITAZMZEV	0	positive
AU22624634	AFYCEAFSNDLKSX	0	positive
AU22652651	RTHCYVBBDHJXIQ	0	positive
AU22781202	LMKQNTMFZLAJDV	0	positive
AU23111226	VPWNQTHUCYMVMZ	0	positive
AU23172457	MQOBSOSZFYZQOK	0	positive
AU23172662	SRJQTHAZUNRMPR	0	positive
AU23378660	NQPDXQQQCQDHHW	0	positive
AU23522445	NQLVQOSNDJXLKG	0	positive
AU23895355	PNVJTZOFSHSLTO	0	positive
AU24021807	NUVBSKCKDOMJSU	0	positive
AU24034183	UREBDLICKHMUKA	0	positive
AU24464180	XOKCJXZZNAUIQN	0	positive
AU24511245	RQZAXGRLVPAYTJ	9	positive
AU24748219	DPBWFNDFMCCGGJ	0	positive
AU24754289	DXGLGDHPHMLXJC	0	positive
AU24796723	CJOFXWAVKWHTFT	0	positive
AU24845006	GVGYEFKIHJTNQZ	0	positive
AU24903511	CPEUVMUXAHMANV	0	positive
AU25153419	JBDGDEWWOUBZPM	0	positive
AU25157099	IOYNQIMAUDJVEI	0	positive
AU25345773	BYBLEWFAAKGYCD	1	positive
AU25364230	FFGPTBGBLSHEPO	0	positive
AU25424658	CIWBQSYVNNPZIQ	4	positive
AU25428965	VBCVPMMZEGZULK	0	positive
AU25439808	DBPWSSGDRRHUNT	0	positive
AU25578358	FAEKWTJYAYMJKF	0	positive
AU25750875	CLQMBPJKHLGMQK	0	positive
AU25774003	HZJKXKUJVSEEFU	0	positive
AU25796952	WWSYXEZEXMQWHT	0	positive
AU25979040	AHOUBRCZNHFOSL	0	positive
AU26079009	WPALTCMYPARVNV	0	positive
AU26185059	QGXBDMJGAMFCBF	2	positive
AU26331864	PTCFDJRJOGPUFE	0	positive
AU26351606	MFYSYFVPBJMHGN	0	positive
AU26414028	PMXMIIMHBWHSKN	0	positive
AU26523996	AXRYRYVKAWYZBR	0	positive
AU26641928	SCCDDNKJYDZXMM	0	positive
AU26777680	BUGYDGFZZOZRHP	8	positive
AU26806068	ZZORFUFYDOWNEF	0	positive
AU26884855	AYXYPKUFHZROOJ	0	positive
AU27328029	HLLOKZYCSSQYEB	0	positive
AU27382054	XSFJVAJPIHIPKU	0	positive
AU27431953	OJMMVQQUTAEWLP	7	positive
